dimension,label,n_docs,prevalence,mean_severity,mean_actionability,mean_confidence,opportunity_score,co_occurs_with,prevalence_lo,prevalence_hi,prevalence_norm,severity_norm,evidence_confidence,source_spread,attribution_factor,flagged_evidence_share,low_confidence,reportable,source_specific,high_prevalence,post_purchase_only,n_pre_purchase,n_post_purchase,n_mixed,n_authors,author_prevalence,n_docs_genuine,prevalence_genuine,prevalence_lo_genuine,prevalence_hi_genuine,mean_severity_genuine,mean_actionability_genuine,mean_confidence_genuine,evidence_confidence_genuine,opportunity_score_genuine,cluster,supporting_doc_ids,prevalence_youtube,prevalence_consumer_complaints_in,prevalence_quora_manual,prevalence_play_store,prevalence_app_store,prevalence_complaints_board
wishlist_motivation,cart_proxy,4,0.005000,1.0000,1.0000,75.0000,0.10,,0.001946,0.012785,0.010589,0.200000,0.048651,0.333333,0.500000,0.500000,true,true,false,false,false,2,0,2,4,0.005122,3,0.027778,0.009491,0.078505,1.0000,1.0000,73.3333,0.033409,0.14,wishlist_motivation=cart_proxy,315087445e91be37;5c3c5b58f60edd72;c6ffbf70b1d93e9b;f49e5c78ab26e07c,0.004762,0.000000,0.000000,0.021277,0.000000,0.000000
info_sought_elsewhere,youtube_haul,5,0.006250,1.6000,0.4000,72.0000,0.08,blocker_type=fit_size_uncertainty; uncertainty_type=will_it_fit; wishlist_motivation=budget_timing,0.002672,0.014547,0.015883,0.320000,0.051311,0.166667,1.000000,0.000000,true,true,true,false,false,5,0,0,5,0.006402,1,0.009259,0.001636,0.050595,4.0000,1.0000,80.0000,0.028276,0.00,info_sought_elsewhere=youtube_haul,307cb7d6e12dbb5c;670a1a91284ec275;72614a8ee7881c11;9640f16a0e3bde10;f804f89c3e0d792b,0.011905,0.000000,0.000000,0.000000,0.000000,0.000000
wishlist_motivation,budget_timing,4,0.005000,2.5000,0.2500,80.0000,0.07,blocker_type=price_absolute; wishlist_motivation=decide_later; wishlist_motivation=price_watch,0.001946,0.012785,0.010589,0.500000,0.051894,0.333333,0.500000,0.500000,true,true,false,false,false,4,0,0,4,0.005122,1,0.009259,0.001636,0.050595,4.0000,0.0000,80.0000,0.000000,0.00,wishlist_motivation=budget_timing,72614a8ee7881c11;8abc271a2e136eb8;b47d4eeb586c072c;d84a710e8e50a9cd,0.002381,0.000000,0.028037,0.000000,0.000000,0.000000
info_sought_elsewhere,other_marketplace_reviews,3,0.003750,1.3333,1.0000,80.0000,0.06,wishlist_motivation=compare_options; wishlist_motivation=seeking_opinion,0.001276,0.010967,0.005294,0.266667,0.030249,0.166667,0.666667,0.333333,true,true,true,false,false,3,0,0,3,0.003841,0,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.00,info_sought_elsewhere=other_marketplace_reviews,b5fe613d20e50997;b671cbe9cf656739;ff3f0616aab47760,0.007143,0.000000,0.000000,0.000000,0.000000,0.000000
wishlist_motivation,price_watch,19,0.023750,2.1053,0.3158,79.4737,0.05,blocker_type=price_absolute; wishlist_motivation=budget_timing; wishlist_motivation=decide_later,0.015256,0.036796,0.090006,0.421053,0.013435,0.500000,0.052632,0.947368,true,true,false,false,false,16,0,3,19,0.024328,4,0.037037,0.014495,0.091383,3.2500,0.2500,80.0000,0.031310,0.13,wishlist_motivation=price_watch,0de5bd254b97102b;1034a87c82962c3c;418704470b904b6f;591a8d4c6275f780;61c9386d93b783df;7889684f986477fc;8abc271a2e136eb8;8ddfcb0958d52c8c;919b568c3d8b05c0;9fde6fcf1b6edbd4;a03ab810f1ee1e54;a6bee1d6127c899c;a89352d4b299184d;b29a3031748d0c27;b47d4eeb586c072c;d84a710e8e50a9cd;e59e4834116e95af;ea136c4f59b44176;ef288d0552a348f8,0.028571,0.000000,0.037383,0.031915,0.000000,0.000000
wishlist_motivation,compare_options,3,0.003750,2.3333,1.0000,80.0000,0.05,blocker_type=choice_overload; blocker_type=return_friction; info_sought_elsewhere=other_marketplace_reviews,0.001276,0.010967,0.005294,0.466667,0.015124,0.166667,0.333333,0.666667,true,true,true,false,false,3,0,0,3,0.003841,1,0.009259,0.001636,0.050595,4.0000,1.0000,80.0000,0.028276,0.00,wishlist_motivation=compare_options,7ea6f37b5752d6dc;dad39da4107a1e4b;ff3f0616aab47760,0.007143,0.000000,0.000000,0.000000,0.000000,0.000000
wishlist_motivation,decide_later,24,0.030000,2.5000,0.7083,79.5833,0.00,uncertainty_type=will_it_fit; blocker_type=fit_size_uncertainty; blocker_type=price_absolute,0.020241,0.044251,0.102597,0.500000,0.000000,0.333333,0.000000,1.000000,false,true,false,false,false,24,0,0,22,0.028169,14,0.129630,0.078812,0.205891,2.6429,0.8571,80.0000,0.000000,0.00,wishlist_motivation=decide_later,307cb7d6e12dbb5c;3692fa2a512aae06;40142198e9cfc570;4d871ec40f649216;513eae40b6fd0479;54858f3965caa2a7;59214d7ced166e51;59b47ccfb0a5e5f5;67046a2831f42a53;74083592ce791884;748f01ab3054a117;8234a0a3854f16ea;8521228752f16468;8abc271a2e136eb8;9e56b717a35830a9;a59c5a341e8fe367;b1561676fee61a69;b47d4eeb586c072c;b5f10f7b00ce78ff;b904c5267cf218ac;cb9fd6691717983c;d319c7c2cb66ee3b;d84a710e8e50a9cd;e3e0ef9b38b8c0c5,0.045238,0.000000,0.046729,0.000000,0.000000,0.000000
wishlist_motivation,seeking_opinion,14,0.017500,2.5000,1.0000,80.0000,0.00,blocker_type=fit_size_uncertainty; uncertainty_type=will_it_fit; info_sought_elsewhere=brand_site_size_chart,0.010452,0.029159,0.061104,0.500000,0.000000,0.166667,0.000000,1.000000,true,true,true,false,false,14,0,0,14,0.017926,12,0.111111,0.064712,0.184226,2.5000,1.0000,80.0000,0.000000,0.00,wishlist_motivation=seeking_opinion,00a4031247821efe;06af101eca8541bc;1aca7d7657f641d6;1bffdd1b9ded7f70;2e56b915e11f56df;3977ec942b8c98c6;3f2c8fa03bdb2bc3;49a1f82a0e70d78f;8600123cd4480b13;91c35ee453b8db20;93fbc6d0a17ae575;b671cbe9cf656739;d319c7c2cb66ee3b;e2f3325167075aa6,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000
wishlist_motivation,inspiration_bookmark,7,0.008750,1.1429,0.5714,75.7143,0.00,info_sought_elsewhere=youtube_haul; uncertainty_type=will_it_fit,0.004245,0.017951,0.026472,0.228571,0.000000,0.333333,0.000000,1.000000,true,true,false,false,false,7,0,0,7,0.008963,1,0.009259,0.001636,0.050595,1.0000,0.0000,80.0000,0.000000,0.00,wishlist_motivation=inspiration_bookmark,5a65e789410e3697;6e8dbf7c34290930;9640f16a0e3bde10;c851c446ed512869;d0b509771fb03f3c;e02da22a675eaba8;fb9bc712f9e75ea5,0.014286,0.000000,0.009346,0.000000,0.000000,0.000000
blocker_type,price_expectation,5,0.006250,3.8000,0.4000,82.0000,0.00,blocker_type=price_absolute; blocker_type=trust_authenticity; blocker_type=delivery_uncertainty,0.002672,0.014547,0.015883,0.760000,0.000000,0.500000,0.000000,1.000000,true,true,false,false,false,1,0,4,5,0.006402,0,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.00,blocker_type=price_expectation,557a4c6b726d38ab;6eb37deb0aa6ac7a;a59a0d1cbca3eec6;e30c2c185b9ab9d0;e7345bafb9a6dd8f,0.002381,0.000000,0.000000,0.031915,0.038462,0.000000
uncertainty_type,better_alternative_exists,4,0.005000,3.7500,0.7500,80.0000,0.00,blocker_type=choice_overload; blocker_type=delivery_uncertainty; blocker_type=fit_size_uncertainty,0.001946,0.012785,0.010589,0.750000,0.000000,0.500000,0.000000,1.000000,true,true,false,false,false,2,1,1,4,0.005122,2,0.018519,0.005093,0.065020,4.0000,1.0000,80.0000,0.000000,0.00,uncertainty_type=better_alternative_exists,3400e34b80dd59d6;63827a9bb072cb5b;6eb37deb0aa6ac7a;7ea6f37b5752d6dc,0.004762,0.006757,0.000000,0.010638,0.000000,0.000000
blocker_type,choice_overload,3,0.003750,2.6667,1.0000,80.0000,0.00,uncertainty_type=better_alternative_exists; blocker_type=delivery_uncertainty; blocker_type=fit_size_uncertainty,0.001276,0.010967,0.005294,0.533333,0.000000,0.333333,0.000000,1.000000,true,true,false,false,false,2,1,0,3,0.003841,1,0.009259,0.001636,0.050595,3.0000,1.0000,80.0000,0.000000,0.00,blocker_type=choice_overload,3400e34b80dd59d6;7ea6f37b5752d6dc;f08934795480d657,0.004762,0.006757,0.000000,0.000000,0.000000,0.000000
blocker_type,styling_uncertainty,3,0.003750,4.0000,1.0000,83.3333,0.00,blocker_type=fit_size_uncertainty; uncertainty_type=will_it_fit; blocker_type=color_fabric_accuracy,0.001276,0.010967,0.005294,0.800000,0.000000,0.166667,0.000000,1.000000,true,true,true,false,false,3,0,0,3,0.003841,0,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.00,blocker_type=styling_uncertainty; uncertainty_type=how_does_it_look_on_me,2f4ae2b402ca1b62;69b854d91b105b4e;803ba25550da27ed,0.000000,0.000000,0.028037,0.000000,0.000000,0.000000
wishlist_motivation,size_unavailable,2,0.002500,2.5000,0.5000,80.0000,0.00,blocker_type=fit_size_uncertainty; uncertainty_type=will_it_fit,0.000686,0.009069,0.000000,0.500000,0.000000,0.166667,0.000000,1.000000,true,false,true,false,false,2,0,0,2,0.002561,1,0.009259,0.001636,0.050595,4.0000,1.0000,80.0000,0.000000,0.00,wishlist_motivation=size_unavailable,4b4072fa4bed9956;be214a814b9f0157,0.004762,0.000000,0.000000,0.000000,0.000000,0.000000
